Museum,Specimen _Number,Species,Subspecies,Clade,Sex,Elevation,Body Mass (g),Body _Length _(mm),Head _Length _(mm),Bill Length (mm),Bill Width1 (mm),Bill Width2 (mm),Bill Width3 (mm),Bill Depth1 (mm),Bill Depth2 (mm),Bill Depth3 (mm),Proximal Bill Cross-Sectional_ Area (mm2),Mid-Length Bill Cross-Sectional Area (mm2),Distal Bill Cross-Sectional Area (mm2),Wing Length (mm),Primary 1 (mm),Primary 2 (mm),Primary 3 (mm),Primary 4 (mm),Primary 5 (mm),Primary 6 (mm),Primary 7 (mm),Primary 8 (mm),Primary 9 (mm),Width of Primary 1,Width of Primary 9,Tibiotarsus Width (mm),Tarsometatarsus Length (mm),Tarsometatarsus Width (mm),Digit 1 (mm),Digit 2 (mm),Digit 3 (mm),Digit 4 (mm),Ungual 1 (mm),Ungual 2 (mm),Ungual 3 (mm),Ungual 4 (mm),Central rectrix (mm),Lateral Retrices,Isometric Size Index,Wing Pointedness Index,Wing Convexity Index,Country,State/Province,Region,Locality,Preparation,Latitute (o South),Longitude (o West),Elevation1,Prin1 2,Prin2 2,Prin3 2,Prin4 2,Prin5 2,Species,Museum,Specimen_Number,D15N,D13C,Prct_Nitrogen,Prct_Carbon,C_N_Ratio, ?18O,Species,Museum,Specimen_Number,Isotope_Samp_ID,dDa,[H]a,,dDb,[H]b,Mean_dD
AMNH,100743,albidiventris,,Small,female,3000 m,,199,40.7,16.82,4.78,2.3,1.09,4.59,3.92,1.16,68.92717114,28.32459936,3.972229751,97.02,58.75,72.62,74.27,74.08,73.35,69.17,63.52,58.89,57.37,7.09,10.47,1.94,28.24,1.81,21.64,17.16,23.8,15.83,9.36,4.94,6.09,4.87,73,63.36,-0.920044452,1.156662224,0.79545356,Venezuela,Merida,,near Quintero,,8.828,70.693,3000,-0.659808299,0.068857914,-0.564259199,-0.399028078,0.401902096,het,AMNH,100743,8.657596800,-20.282403800,13.768823900,45.368938700,3.295048221,4.628465477,het,AMNH,100743,het-A100743a,-61.7,5.18,het-a100743b,-67.2,5.09,-64.477
AMNH,124466,albidiventris,,Small,male,"14,000 Ft.",,170,39.55,17.14,4.85,1.81,1.04,3.88,3.15,1.03,59.11849056,17.91179051,3.365274051,97.31,59.51,73.5,74.4,75.73,73.23,67.89,63.21,59.38,56.62,6.6,11.05,1.72,29.99,1.65,18.07,15.59,21.38,17.12,7.96,4.73,5.82,5.19,65.65,59.39,-0.913465809,1.073165039,0.778178713,Ecuador,,,Mt. Chimborazo,Skin: Whole; Skeleton: Partial: trunk,-2.0167,78.733,4267,-2.235541646,-1.127991961,-0.629253034,-0.119422841,0.47313215,albd,AMNH,124466,6.189624000,-21.047462200,13.677862000,44.803524600,3.275623383,4.811275611,albd,AMNH,124466,alb-A124466a,-76.8,5.35,albd-a124466b,-80.5,4.93,-78.649
,,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,albd,AMNH,154953,7.732857600,-21.400414400,13.534913700,44.497600600,3.287616130,1.482136237,albd,AMNH,154953,alb-A1154953a,-96.7,4.97,albd-a154953b,-96.7,4.82,-96.701
AMNH,154955,albidiventris,,Small,female,3600-4000 m,,167,40.83,13.54,4.11,1.61,0.96,3.68,3.12,1.32,47.51596057,15.78084822,3.981026211,105.8,63.79,78.96,79,76.5,75.37,67.74,61.35,58.38,56.57,7.15,11.92,1.63,30.19,1.64,19.13,16.06,24.09,16.72,8.33,4.95,5.99,5.23,67.21,62.45,-0.87532193,0.578194164,1.069232053,Ecuador,,,Antisana,Skin: Whole; Skeleton: Partial: trunk,-2.883,78.983,3800,-2.177757295,-0.157423163,-0.011028311,0.274117215,0.195322403,albd,AMNH,154955,7.807917600,-20.964646600,13.687415000,44.716445900,3.266975240,2.11659985,albd,AMNH,154955,alb-A154955a,-95.7,5.80,albd-a154955b,-96.7,4.89,-96.220
AMNH,167291,albidiventris,,Small,female,3100 m,,167,36.78,15.73,4.28,1.58,0.8,4.08,3.08,0.97,54.85974755,15.28824649,2.437875899,93.67,57.03,69.3,70.29,70.29,68.19,60.73,55.87,53.6,52.96,6.52,12.41,1.67,29.95,1.48,19.38,16.17,23.04,15.61,8.66,4.88,6.41,4.91,65.23,60.86,-1.041694333,0.722847115,0.971885956,Ecuador,,,Bestion,Skin: Whole,-3.417,-79.017,3100,-2.369276144,0.048208892,-0.387181082,-0.18229348,0.238843398,albd,AMNH,167291,9.184017600,-19.973817100,14.176860300,45.503650900,3.209712866,6.751228478,albd,AMNH,167291,alb-A167291a,-53.6,5.69,albd-a167291b,-62.7,5.27,-58.128
AMNH,167292,albidiventris,,Small,female,3100 m,,165,37.96,15.01,4.25,1.83,0.87,4.17,3.48,1.01,55.6768758,20.00691866,2.760517465,95.13,53.03,66.22,66.61,66.43,66.43,61.14,57.02,52.86,51.49,6.78,11.22,1.7,27.19,1.54,21.4,15.39,23.12,16.88,9.52,5.48,6.18,5.35,64.64,56,-1.090138201,1.095792571,0.793678336,Ecuador,,,Bestion,Skin: Whole,-3.417,-79.017,3100,-1.903834542,0.686266385,-0.969028359,-0.937814974,0.696844441,albd,AMNH,167292,8.502472800,-20.711270300,13.302509500,44.800929600,3.367855486,4.667348118,albd,AMNH,167292,alb-A167292a,-56.9,5.25,albd-a167292b,-78.4,4.87,-67.680
AMNH,167294,albidiventris,,Small,male,3100 m,,169,37.61,15.26,4.41,1.62,0.83,3.89,3.36,0.82,53.89370781,17.10031713,2.13816796,97.63,57.16,72.82,73.57,64.19,60.13,56.4,56.49,50.53,51.12,6.72,10.79,1.71,29.71,1.42,19.85,16.14,22.77,15.59,8.78,4.38,6.08,4.87,69.19,63.65,-1.088469787,0.259216273,0.537127854,Ecuador,,,Bestion,Skin: Whole,-3.417,-79.017,3100,-2.412247428,0.25183309,0.186500964,-0.423131542,0.29276062,albd,AMNH,167294,9.357156000,-23.954881300,13.192208200,44.905825800,3.403965820,4.976034065,albd,AMNH,167294,alb-A167294a,-68.2,5.37,albd-a167294b,-79.3,4.80,-73.761
AMNH,167295,albidiventris,,Small,male,3100 m,,168,36.4,14.94,4.49,1.82,0.77,4.11,3.37,0.98,57.97463667,19.26864438,2.370645816,97.43,54.16,71.93,72.52,70.77,65.76,61.44,56.59,55.13,51.14,5.91,11.02,1.54,30.14,1.22,18.81,15.58,22.89,14.35,8.53,4.69,6.13,5.12,65.72,59.75,-1.033737772,0.880894984,1.167743122,Ecuador,,,Bestion,Skin: Whole,-3.417,-79.017,3100,-2.749160397,-0.095723867,-0.593883136,-0.1428798,-0.045154839,albd,AMNH,167295,8.480455200,-21.116475200,13.348692500,44.598590600,3.341045619,5.657561292,albd,AMNH,167295,alb-A167295a,-59.5,4.81,albd-a167295b,-75.3,4.98,-67.387
AMNH,167298,albidiventris,,Small,male,3100 m,,165,36.04,14.94,4.62,1.68,0.73,4.24,3.2,1.08,61.54003017,16.88920211,2.476831648,94.36,52.99,68.09,68.61,66.47,45.37,50.99,47.8,47.71,47.24,6.62,10.75,1.84,30.28,1.39,19.06,14.59,22.59,16.46,9.04,4.77,6.34,4.89,66.36,60.26,-1.244322657,-0.07510021,0.424686236,Ecuador,,,Bestion,Skin: Whole,-3.417,-79.017,3100,-2.545433069,0.683918489,0.357330884,-0.638099666,0.528025199,albd,AMNH,167298,9.040903200,-20.247897300,13.032467700,44.671408500,3.427701455,4.777421251,albd,AMNH,167298,alb-A167298a,-59.9,5.58,albd-a167298b,-68.9,4.85,-64.382
AMNH,167299,albidiventris,,Small,female,3100 m,,166,37.95,13.85,4.34,1.72,0.87,3.8,3.23,1.04,51.81114604,17.45343215,2.842513033,95.1,52.25,66.28,66.18,64.51,59.4,56.52,54.02,54.29,51.33,7.25,13.22,1.62,27.65,1.22,19.6,15.42,22.79,17.01,8.83,4.63,5.87,4.87,64.4,59.06,-1.142037427,0.92615853,0.177856872,Ecuador,,,Bestion,Skin: Whole,-3.417,-79.017,3100,-2.783627246,-0.365685994,-0.780315591,-1.279578393,0.650778409,albd,AMNH,167299,9.661399200,-19.708610000,13.537375600,45.057173300,3.328353636,5.264074905,albd,AMNH,167299,alb-A167299a,-54.2,5.48,albd-a167299b,-64.4,5.15,-59.327
